,Player,Draft Pick,Salary,Pos,Age,Team,Games Played
629,Andrew Bogut,1,2328652,C,33,LAL,23
630,Andre Roberson,26,9259259,SG,26,OKC,39
631,Andre Iguodala,9,14814815,SF,34,GSW,63
632,Andre Drummond,9,23775506,C,24,DET,76
633,Amir Johnson,56,11000000,C,30,PHI,70
634,Allen Crabbe,31,19332500,SG,25,BRK,71
636,Al-Farouq Aminu,8,7319035,PF,27,POR,65
638,Alex Len,5,4187599,C,24,PHO,66
640,Alex Abrines,32,5725000,SG,24,OKC,73
642,Alec Burks,12,10845506,SG,26,UTA,62
644,Al Jefferson,15,9769821,C,33,IND,34
645,Al Horford,3,27734405,C,31,BOS,70
647,Abdel Nader,58,1167333,SF,24,BOS,44
649,Aaron Gordon,4,5504420,PF,22,ORL,55
650,Aaron Brooks,26,2116955,PG,33,MIN,31
